ID,Marital_Status,Application_Mode,Course,Attendance_Type,Previous_Qualification,Admission_Grade,Displaced,Special_Needs,Debtor,Tuition_Fees_Up_To_Date,Gender,Scholarship_Holder,Age_At_Enrollment,International,Units_1st_Sem_Enrolled,Units_1st_Sem_Approved,Units_1st_Sem_Grade,Units_2nd_Sem_Enrolled,Units_2nd_Sem_Approved,Units_2nd_Sem_Grade,Approval_Rate_1st_Sem,Approval_Rate_2nd_Sem,Avg_Grade_Both_Sem,Unemployment_Rate,Inflation_Rate,GDP,Status
1,Single,2nd phase - general contingent,Animation and Multimedia Design,Daytime,Secondary Education,127.3,Yes,No,No,Yes,Male,No,20,No,0,0,0.0,0,0,0.0,0,0,0.0,10.8,1.4,1.74,Dropout
2,Single,International student (bachelor),Tourism,Daytime,Secondary Education,142.5,Yes,No,No,No,Male,No,19,No,6,6,14.0,6,6,13.666666666666666,1.0,1.0,13.83,13.9,-0.3,0.79,Graduate
3,Single,1st phase - general contingent,Communication Design,Daytime,Secondary Education,124.8,Yes,No,No,No,Male,No,19,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Dropout
4,Single,2nd phase - general contingent,Journalism and Communication,Daytime,Secondary Education,119.6,Yes,No,No,Yes,Female,No,20,No,6,6,13.428571428571429,6,5,12.4,1.0,0.833,12.91,9.4,-0.8,-3.12,Graduate
5,Married,Over 23 years old,Social Service (evening attendance),Evening,Secondary Education,141.5,No,No,No,Yes,Female,No,45,No,6,5,12.333333333333334,6,6,13.0,0.833,1.0,12.67,13.9,-0.3,0.79,Graduate
6,Married,Over 23 years old,Management (evening attendance),Evening,Basic Education 3rd Cycle,114.8,No,No,Yes,Yes,Male,No,50,No,5,5,11.857142857142858,5,5,11.5,1.0,1.0,11.68,16.2,0.3,-0.92,Graduate
7,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,128.4,Yes,No,No,Yes,Female,Yes,18,No,7,7,13.3,8,8,14.345,1.0,1.0,13.82,15.5,2.8,-4.06,Graduate
8,Single,3rd phase - general contingent,Tourism,Daytime,Secondary Education,113.1,Yes,No,No,No,Male,No,22,No,5,0,0.0,5,0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,Dropout
9,Single,1st phase - general contingent,Social Service,Daytime,Secondary Education,129.3,No,No,No,Yes,Female,Yes,21,Yes,6,6,13.875,6,6,14.142857142857142,1.0,1.0,14.01,16.2,0.3,-0.92,Graduate
10,Single,1st phase - general contingent,Social Service,Daytime,Secondary Education,123.0,Yes,No,Yes,No,Female,No,18,No,6,5,11.4,6,2,13.5,0.833,0.333,12.45,8.9,1.4,3.51,Dropout
11,Single,1st phase - general contingent,Advertising and Marketing Management,Daytime,Secondary Education,130.6,Yes,No,No,Yes,Female,No,18,No,6,6,12.333333333333334,6,5,14.2,1.0,0.833,13.27,13.9,-0.3,0.79,Graduate
12,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,119.3,Yes,No,No,Yes,Female,Yes,18,No,8,7,13.214285714285714,8,7,13.214285714285714,0.875,0.875,13.21,12.7,3.7,-1.7,Graduate
13,Single,1st phase - general contingent,Basic Education,Daytime,Secondary Education,130.2,Yes,No,No,Yes,Female,No,19,No,6,0,0.0,6,0,0.0,0.0,0.0,0.0,12.7,3.7,-1.7,Dropout
14,Single,Short cycle diploma holders,Tourism,Daytime,Professional Higher Technical Course,111.8,Yes,No,No,Yes,Female,Yes,21,No,6,6,10.571428571428571,6,5,11.0,1.0,0.833,10.79,8.9,1.4,3.51,Graduate
15,Single,1st phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,137.1,Yes,No,No,Yes,Female,Yes,18,No,5,4,13.25,5,5,12.0,0.8,1.0,12.62,10.8,1.4,1.74,Graduate
16,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,120.7,Yes,No,No,Yes,Female,No,20,No,6,5,13.2,6,0,0.0,0.833,0.0,6.6,15.5,2.8,-4.06,Dropout
17,Single,3rd phase - general contingent,Social Service,Daytime,Secondary Education,137.4,Yes,No,No,Yes,Female,No,18,No,6,1,12.0,6,2,11.0,0.167,0.333,11.5,10.8,1.4,1.74,Enrolled
18,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,127.3,Yes,No,No,Yes,Female,No,18,No,7,7,13.30625,8,8,14.545,1.0,1.0,13.93,15.5,2.8,-4.06,Graduate
19,Single,1st phase - general contingent,Equinculture,Daytime,Secondary Education,136.3,Yes,No,No,Yes,Female,No,20,No,5,4,12.5,5,4,12.25,0.8,0.8,12.38,10.8,1.4,1.74,Graduate
20,Single,1st phase - general contingent,Basic Education,Daytime,Secondary Education,124.6,Yes,No,No,Yes,Female,No,18,No,7,6,11.666666666666666,7,6,13.5,0.857,0.857,12.58,16.2,0.3,-0.92,Enrolled
21,Single,1st phase - general contingent,Animation and Multimedia Design,Daytime,Secondary Education,120.3,No,No,No,Yes,Female,Yes,21,No,0,0,0.0,0,0,0.0,0,0,0.0,11.1,0.6,2.02,Graduate
22,Single,3rd phase - general contingent,Oral Hygiene,Daytime,Secondary Education,121.8,Yes,No,No,Yes,Female,No,20,No,7,7,11.4375,8,8,11.425,1.0,1.0,11.43,12.7,3.7,-1.7,Enrolled
23,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,125.5,Yes,No,No,Yes,Female,No,18,No,8,7,12.857142857142858,8,7,12.857142857142858,0.875,0.875,12.86,12.7,3.7,-1.7,Graduate
24,Single,1st phase - general contingent,Advertising and Marketing Management,Daytime,Secondary Education,114.9,Yes,No,No,Yes,Female,Yes,19,No,6,6,13.375,6,6,12.285714285714286,1.0,1.0,12.83,11.1,0.6,2.02,Graduate
25,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,123.9,No,No,No,Yes,Female,No,19,No,7,6,13.296666666666669,8,7,14.114285714285714,0.857,0.875,13.71,11.1,0.6,2.02,Graduate
26,Single,1st phase - general contingent,Social Service,Daytime,Secondary Education,157.0,Yes,No,Yes,Yes,Female,Yes,18,No,6,5,11.6,6,4,11.0,0.833,0.667,11.3,7.6,2.6,0.32,Enrolled
27,Single,2nd phase - general contingent,Social Service,Daytime,Secondary Education,116.4,Yes,No,No,Yes,Female,No,21,No,6,6,11.375,6,6,13.285714285714286,1.0,1.0,12.33,16.2,0.3,-0.92,Graduate
28,Single,1st phase - general contingent,Veterinary Nursing,Daytime,Secondary Education,131.0,Yes,No,No,Yes,Female,No,18,No,5,5,12.666666666666666,5,4,13.0,1.0,0.8,12.83,9.4,-0.8,-3.12,Enrolled
29,Single,1st phase - general contingent,Management,Daytime,Secondary Education,122.1,Yes,No,No,Yes,Female,No,20,No,5,5,12.0,5,5,12.333333333333334,1.0,1.0,12.17,16.2,0.3,-0.92,Graduate
30,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,118.8,Yes,No,No,Yes,Male,No,19,No,7,6,12.933333333333332,7,6,13.716666666666669,0.857,0.857,13.32,16.2,0.3,-0.92,Enrolled
31,Single,Technological specialization diploma holders,Agronomy,Daytime,Technological Specialization Course,150.0,No,No,No,Yes,Male,No,21,No,6,5,11.857142857142858,6,5,10.571428571428571,0.833,0.833,11.21,16.2,0.3,-0.92,Enrolled
32,Single,Change of institution/course,Communication Design,Daytime,Secondary Education,130.0,Yes,No,No,Yes,Male,No,20,No,6,6,12.833333333333334,6,4,13.4,1.0,0.667,13.12,8.9,1.4,3.51,Graduate
33,Single,1st phase - general contingent,Management,Daytime,Secondary Education,138.8,No,No,No,No,Male,No,18,No,5,3,11.333333333333334,5,2,13.5,0.6,0.4,12.42,8.9,1.4,3.51,Enrolled
34,Single,3rd phase - general contingent,Social Service (evening attendance),Evening,Secondary Education,134.5,Yes,No,No,Yes,Female,No,19,No,6,6,12.666666666666666,6,6,14.375,1.0,1.0,13.52,12.4,0.5,1.79,Graduate
35,Single,1st phase - general contingent,Management (evening attendance),Evening,Secondary Education,131.4,No,No,No,Yes,Male,No,34,No,5,5,12.4,5,5,13.428571428571429,1.0,1.0,12.91,13.9,-0.3,0.79,Graduate
36,Single,Over 23 years old,Biofuel Production Technologies,Daytime,Secondary Education,102.5,No,No,Yes,No,Male,No,37,No,7,0,0.0,7,1,10.0,0.0,0.143,5.0,8.9,1.4,3.51,Dropout
37,Single,Over 23 years old,Informatics Engineering,Daytime,11th Year - Not Completed,128.8,Yes,No,No,Yes,Male,No,43,No,5,0,0.0,5,0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,Dropout
38,Single,Change of course,Management,Daytime,Secondary Education,122.9,No,No,No,Yes,Female,No,55,No,5,1,10.0,5,2,12.0,0.2,0.4,11.0,16.2,0.3,-0.92,Dropout
39,Divorced,Over 23 years old,Management (evening attendance),Evening,Secondary Education,113.9,Yes,No,No,Yes,Female,No,39,No,5,5,11.0,5,5,11.6,1.0,1.0,11.3,7.6,2.6,0.32,Graduate
40,Single,Technological specialization diploma holders,Equinculture,Daytime,Technological Specialization Course,120.0,No,No,Yes,No,Female,No,20,Yes,6,3,11.666666666666666,6,3,12.0,0.5,0.5,11.83,12.4,0.5,1.79,Dropout
41,Single,1st phase - general contingent,Journalism and Communication,Daytime,Secondary Education,121.1,No,No,Yes,Yes,Female,No,18,No,6,4,12.75,5,0,0.0,0.667,0.0,6.38,12.7,3.7,-1.7,Dropout
42,Single,1st phase - general contingent,Management,Daytime,Secondary Education,120.4,Yes,No,No,Yes,Female,No,22,No,5,5,14.8,5,5,15.8,1.0,1.0,15.3,8.9,1.4,3.51,Graduate
43,Single,1st phase - general contingent,Nursing,Daytime,Secondary Education,100.6,Yes,Yes,No,Yes,Female,No,22,No,7,5,13.928,8,7,14.342857142857142,0.714,0.875,14.14,11.1,0.6,2.02,Graduate
44,Single,2nd phase - general contingent,Journalism and Communication,Daytime,Secondary Education,121.4,No,No,No,No,Female,No,20,No,6,4,13.0,6,5,13.8,0.667,0.833,13.4,12.4,0.5,1.79,Dropout
45,Single,Over 23 years old,Management (evening attendance),Evening,Secondary Education,109.7,No,No,No,Yes,Female,No,29,No,5,0,0.0,5,0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,Dropout
46,Single,2nd phase - general contingent,Management (evening attendance),Evening,Secondary Education,134.1,No,No,No,Yes,Female,No,24,No,5,2,11.5,5,3,14.333333333333334,0.4,0.6,12.92,7.6,2.6,0.32,Enrolled
47,Single,2nd phase - general contingent,Social Service,Daytime,Secondary Education,127.6,Yes,No,No,Yes,Female,No,18,No,6,6,11.666666666666666,6,5,13.2,1.0,0.833,12.43,11.1,0.6,2.02,Graduate
48,Single,2nd phase - general contingent,Nursing,Daytime,Secondary Education,132.4,Yes,No,No,Yes,Female,Yes,22,No,7,6,13.516666666666666,8,7,13.771428571428572,0.857,0.875,13.64,11.1,0.6,2.02,Graduate
49,Single,Technological specialization diploma holders,Social Service (evening attendance),Evening,Technological Specialization Course,133.4,No,No,No,Yes,Female,Yes,21,No,6,6,11.5,6,6,13.285714285714286,1.0,1.0,12.39,12.4,0.5,1.79,Graduate
